trial_num	stimulus	start_time	go_time	resp_time	record_time	run	trial	start_time_real	end_time_real
1	li me	4	2	5	3.5	1	1	4.000009200070053	9.004342100117356
2	ca ca ca ca ca ca ca ca	10	2	5	3.5	1	2	10.000012300442904	15.004183700308204
3	pi stra on ca lot	16	2	5	3.5	1	3	16.000010000076145	21.004273100290447
4	me pi ca stra in li pi on	22	2	5	3.5	1	4	22.000011100433767	27.004100100137293
5	stra stra	28	2	5	3.5	1	5	28.000009800307453	33.00435600010678
6	stra ca in pi	34	2	5	3.5	1	6	34.000008900184184	39.00433150026947
7	li on pi lot	40	2	5	3.5	1	7	40.0000102003105	45.00408900016919
8	pi in	46	2	5	3.5	1	8	46.00001469999552	51.004322700202465
9	pi lot ca me li on stra in	52	2	5	3.5	1	9	52.000010300427675	57.00442440016195
10	on on on	58	2	5	3.5	1	10	58.00001430045813	63.00414420012385
11	me me me me	64	2	5	3.5	1	11	64.00001210020855	69.0043876003474
12	stra in ca me lot	70	2	5	3.5	1	12	70.00001110043377	75.00406490033492
13	in str pi	76	2	5	3.5	1	13	76.00001520011574	81.0044789002277
14	ca me lot	82	2	5	3.5	1	14	82.00000920007005	87.00408350024372
15	li li li li li	88	2	5	3.5	1	15	88.00001160008833	93.00408210000023
