trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	word	be ne fit po ta to pe ri od	4.0	3.0	4.0	4.5	1	1	4.000015125027858	11.003654125030152
2	word	be ne fit po ta to pe ri od	12.0	3.0	4.0	4.5	1	2	12.00000966672087	19.00352362502599
3	word	be ne fit po ta to pe ri od	20.0	3.0	4.0	4.5	1	3	20.000022166699637	27.00340445834445
4	word	be ne fit po ta to pe ri od	28.0	3.0	4.0	4.5	1	4	28.000020750041585	35.00403050001478
5	simple	ne ne ne ne ne ne ne ne ne	36.0	3.0	4.0	4.5	1	5	36.00000895833364	43.00444074999541
6	simple	ne ne ne ne ne ne ne ne ne	44.0	3.0	4.0	4.5	1	6	44.00002116669202	51.004892583354376
7	simple	ri ri ri ri ri ri ri ri ri	52.0	3.0	4.0	4.5	1	7	52.00001520832302	59.005564541730564
8	word	po ta to pe ri od be ne fit	60.0	3.0	4.0	4.5	1	8	60.00001233333023	67.00288770830957
9	simple	fit fit fit fit fit fit fit fit fit	68.0	3.0	4.0	4.5	1	9	68.00000695831841	75.00316391669912
10	simple	be be be be be be be be be	76.0	3.0	4.0	4.5	1	10	76.00000762502896	83.00337879167637
11	simple	ne ne ne ne ne ne ne ne ne	84.0	3.0	4.0	4.5	1	11	84.00001695833635	91.00286287500057
12	word	pe ri od po ta to be ne fit	92.0	3.0	4.0	4.5	1	12	92.00001283333404	99.00302175001707
13	random	ne be ta ri po to pe fit od	100.0	3.0	4.0	4.5	1	13	100.00000641669612	107.00320887501584
14	word	po ta to be ne fit pe ri od	108.0	3.0	4.0	4.5	1	14	108.00001825002255	115.00310954172164
15	simple	po po po po po po po po po	116.0	3.0	4.0	4.5	1	15	116.00001662503928	123.00306712504243
16	random	ta od to pe ne ri po fit be	124.0	3.0	4.0	4.5	1	16	124.00001645833254	131.0034459583112
17	word	be ne fit pe ri od po ta to	132.0	3.0	4.0	4.5	1	17	132.00001354172127	139.0028617500211
18	simple	ta ta ta ta ta ta ta ta ta	140.0	3.0	4.0	4.5	1	18	140.0000108749955	147.0029453333118
19	random	po fit to ta ri od be ne pe	148.0	3.0	4.0	4.5	1	19	148.0000074999989	155.00331912504043
20	random	ta po ri od pe be fit to ne	156.0	3.0	4.0	4.5	1	20	156.00001858331962	163.0030607083463
21	word	pe ri od po ta to be ne fit	164.0	3.0	4.0	4.5	1	21	164.0000186249963	171.00321075000102
22	simple	po po po po po po po po po	172.0	3.0	4.0	4.5	1	22	172.0000131666893	179.00314112502383
23	simple	ne ne ne ne ne ne ne ne ne	180.0	3.0	4.0	4.5	1	23	180.00001183332643	187.00299316667952
24	simple	ne ne ne ne ne ne ne ne ne	188.0	3.0	4.0	4.5	1	24	188.0000082916813	195.00313900003675
25	random	po pe ta be to fit ri ne od	196.0	3.0	4.0	4.5	1	25	196.00000658334466	203.003406416683
26	simple	po po po po po po po po po	204.0	3.0	4.0	4.5	1	26	204.00001325004268	211.0029608749901
27	word	be ne fit pe ri od po ta to	212.0	3.0	4.0	4.5	1	27	212.00000450003427	219.0030208750395
28	random	ta od be to ri pe fit po ne	220.0	3.0	4.0	4.5	1	28	220.00001595832873	227.00327720830683
29	word	po ta to be ne fit pe ri od	228.0	3.0	4.0	4.5	1	29	228.00001879170304	235.00307249999605
30	random	be od to pe ta ne po fit ri	236.0	3.0	4.0	4.5	1	30	236.0000074999989	243.00341679167468
31	simple	po po po po po po po po po	244.0	3.0	4.0	4.5	1	31	244.00001133332262	251.00309845834272
32	random	ta po od pe fit to ne be ri	252.0	3.0	4.0	4.5	1	32	252.00000554171856	259.00302279170137
33	random	be fit po to ne ri od ta pe	260.0	3.0	4.0	4.5	1	33	260.0000080000027	267.0028972083237
