algo,lam,thresh,f_mean,f_std,t_mean,mem_mean,eps,min_samples,metric,ker_win,peak_thr,model,penalty,min_size,jump,seg_len
ruptures_pelt,,,0.16504596394209373,0.05721007347159916,0.1766682955938103,0.0040118809523809525,,,,,,rbf,1.0,1.0,1.0,
ruptures_pelt,,,0.1629247057292248,0.06390945856007879,0.13698126483775144,0.0032301190476190476,,,,,,rbf,1.0,5.0,1.0,
ruptures_pelt,,,0.16189712968050848,0.081783715224758,0.005004628878807472,0.0010187619047619047,,,,,,rbf,1.0,10.0,10.0,
ruptures_pelt,,,0.16102989381737154,0.08166478320611904,0.005046510924806907,0.001034738095238095,,,,,,rbf,1.0,5.0,10.0,
ruptures_pelt,,,0.16102989381737154,0.08166478320611904,0.005152863182870317,0.001034738095238095,,,,,,rbf,1.0,1.0,10.0,
ruptures_pelt,,,0.1530769762104469,0.07681963697720291,0.011938348186612572,0.0017924285714285716,,,,,,rbf,1.0,5.0,5.0,
ruptures_pelt,,,0.15239458876433767,0.07673416514163456,0.012474523898812808,0.0017458571428571425,,,,,,rbf,1.0,1.0,5.0,
ruptures_pelt,,,0.15159619388297005,0.06356597769488585,0.024953484116676486,0.002055928571428572,,,,,,rbf,3.0,10.0,5.0,
ruptures_pelt,,,0.15098932663014006,0.06352717613120407,0.024770639900539425,0.002077,,,,,,rbf,3.0,1.0,5.0,
ruptures_pelt,,,0.15098932663014006,0.06352717613120407,0.02498253676319672,0.0020791666666666667,,,,,,rbf,3.0,5.0,5.0,
ruptures_pelt,,,0.15080405206952494,0.06543237710537879,0.008609630926955669,0.0007375238095238096,,,,,,rbf,3.0,10.0,10.0,
ruptures_pelt,,,0.1507354573656961,0.06237666542359932,0.42279014683611293,0.005195095238095238,,,,,,rbf,3.0,10.0,1.0,
ruptures_pelt,,,0.15036084448346024,0.06478013212953986,0.008663887832967919,0.0007363333333333333,,,,,,rbf,3.0,5.0,10.0,
ruptures_pelt,,,0.15036084448346024,0.06478013212953986,0.008710044616323319,0.0007675476190476191,,,,,,rbf,3.0,1.0,10.0,
foote_novelty,,,0.14921543045924646,0.05731289637813716,0.0161124811635264,0.002220595238095238,,,,6.0,3.0,,,,,
ruptures_pelt,,,0.14919492587693528,0.07370069018823254,0.009942040684455563,0.0016457619047619049,,,,,,rbf,1.0,10.0,5.0,
ruptures_pelt,,,0.14899951551944038,0.06159143071876572,0.38977272918869166,0.005158904761904761,,,,,,rbf,3.0,5.0,1.0,
ruptures_pelt,,,0.14882358307749807,0.061414993759061766,0.4074394027868818,0.005232952380952381,,,,,,rbf,3.0,1.0,1.0,
ruptures_pelt,,,0.14828074709211375,0.05284512775670936,0.03582761107827537,0.0024825952380952377,,,,,,rbf,5.0,10.0,5.0,
ruptures_pelt,,,0.14780336315608317,0.05236908602190899,0.03714426592895983,0.002533452380952381,,,,,,rbf,5.0,1.0,5.0,
ruptures_pelt,,,0.14780336315608317,0.05236908602190899,0.03724617556491423,0.0025241190476190476,,,,,,rbf,5.0,5.0,5.0,
ruptures_pelt,,,0.1468302248879127,0.07957529589372682,0.10792875405362186,0.0030259523809523813,,,,,,rbf,1.0,10.0,1.0,
ruptures_pelt,,,0.14524352803322285,0.054195148153157124,0.011709837241575033,0.0007436904761904761,,,,,,rbf,5.0,10.0,10.0,
ruptures_pelt,,,0.144527452129177,0.05209500697408959,0.01171661509544633,0.0007335238095238095,,,,,,rbf,5.0,1.0,10.0,
ruptures_pelt,,,0.144527452129177,0.05209500697408959,0.01199922016738648,0.0007332142857142857,,,,,,rbf,5.0,5.0,10.0,
foote_novelty,,,0.14039533876311727,0.05376367931865197,0.01612545630805904,0.002215642857142857,,,,4.0,3.0,,,,,
ruptures_pelt,,,0.13761472909046127,0.05252480368715971,0.7245857530021264,0.005757142857142857,,,,,,rbf,5.0,10.0,1.0,
foote_novelty,,,0.1375462133141338,0.0513291391656308,0.01615663783048235,0.002274904761904762,,,,8.0,3.0,,,,,
ruptures_pelt,,,0.13716121435123224,0.05159565444964668,0.7484825277088454,0.005718452380952381,,,,,,rbf,5.0,5.0,1.0,
ruptures_pelt,,,0.13716121435123224,0.05159565444964668,0.7668881518558399,0.005736285714285715,,,,,,rbf,5.0,1.0,1.0,
ruptures_pelt,,,0.13714580299056195,0.04460472054604419,0.014799921688834382,0.0007750714285714286,,,,,,rbf,10.0,10.0,10.0,
ruptures_pelt,,,0.13714580299056195,0.04460472054604419,0.014968817428563767,0.000772904761904762,,,,,,rbf,10.0,1.0,10.0,
ruptures_pelt,,,0.13714580299056195,0.04460472054604419,0.01521405352035626,0.0007862142857142857,,,,,,rbf,10.0,5.0,10.0,
foote_novelty,,,0.1370330232845013,0.05921507838517271,0.016210319542248424,0.0022429523809523806,,,,12.0,3.0,,,,,
foote_novelty,,,0.1357486437807267,0.06214237317372223,0.016035643860786444,0.0021714761904761903,,,,10.0,3.0,,,,,
ruptures_pelt,,,0.13470831314982135,0.02818011977957954,2.083640554544261,0.006013880952380953,,,,,,l2,1.0,1.0,1.0,
dbscan_segmentation,,,0.134001918026546,0.05498497885899221,0.004863809482360791,0.0029210238095238096,0.3,3.0,cosine,,,,,,,
foote_novelty,,,0.13392258433644666,0.050513081743361554,0.017211791696137794,0.0018312857142857141,,,,32.0,3.0,,,,,
foote_novelty,,,0.13335753378650372,0.05629856789768195,0.01688549411483109,0.0018552619047619051,,,,28.0,3.0,,,,,
foote_novelty,,,0.13280515307176133,0.059080355249948424,0.016228334410005204,0.002204857142857143,,,,16.0,3.0,,,,,
foote_novelty,,,0.13266512554513882,0.047094189026422976,0.016776455372261505,0.0019072142857142855,,,,24.0,3.0,,,,,
ruptures_pelt,,,0.13173094698968207,0.024250189869153786,2.2514536032131653,0.005794999999999999,,,,,,l2,1.0,5.0,1.0,
uniform_segmentation,,,0.13170899570485492,0.05621697586004271,8.110141304011146e-06,0.00026,,,,,,,,,,50.0
foote_novelty,,,0.13127541728330688,0.04900057283784909,0.016256946407901568,0.003584238095238095,,,,4.0,2.5,,,,,
dbscan_segmentation,,,0.13120716478040415,0.03993079504096434,0.004966069430035229,0.001333595238095238,0.5,10.0,cosine,,,,,,,
ruptures_pelt,,,0.13045795241173394,0.019268664667867214,2.3586913116478607,0.0059835476190476175,,,,,,l2,3.0,1.0,1.0,
ruptures_pelt,,,0.1302828823837227,0.02164512490685805,2.164350747146056,0.0058278809523809524,,,,,,l2,1.0,10.0,1.0,
dbscan_segmentation,,,0.13017820335307104,0.05040322374493156,0.0035280277883257007,0.0015506428571428572,0.7,3.0,euclidean,,,,,,,
uniform_segmentation,,,0.12994324033563065,0.05831409469067091,1.294443167613021e-05,0.0004960000000000001,,,,,,,,,,25.0
dbscan_segmentation,,,0.12917550264598793,0.0515424099217696,0.005099602257056783,0.0014505714285714285,0.3,5.0,cosine,,,,,,,
foote_novelty,,,0.1289588437865354,0.045026946376883877,0.017273256907217382,0.002957785714285714,,,,32.0,2.5,,,,,
dbscan_segmentation,,,0.12884096036238035,0.05054760387314488,0.0034976745429005297,0.0014448571428571427,0.3,10.0,euclidean,,,,,,,
foote_novelty,,,0.1288051712875592,0.04278024536802259,0.016225099265630843,0.0038792619047619053,,,,6.0,2.5,,,,,
ruptures_pelt,,,0.1285454330180115,0.033975213599347256,0.050671136910317556,0.0029152619047619044,,,,,,rbf,10.0,10.0,5.0,
ruptures_pelt,,,0.1285454330180115,0.033975213599347256,0.05224865085689262,0.003001,,,,,,rbf,10.0,5.0,5.0,
ruptures_pelt,,,0.1285454330180115,0.033975213599347256,0.05247229257310253,0.002981285714285714,,,,,,rbf,10.0,1.0,5.0,
dbscan_segmentation,,,0.1283415502953318,0.01614215101354197,0.005439332400869933,0.0013985238095238096,0.7,3.0,cosine,,,,,,,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025075061548878216,0.0012368809523809524,,,,,,l2,10.0,10.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025122296623608452,0.0013299047619047617,,,,,,l2,10.0,5.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025348915596536938,0.0012043571428571429,,,,,,l2,3.0,5.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025458817500510208,0.0012934047619047619,,,,,,l2,1.0,1.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.02545926385487075,0.0012648333333333333,,,,,,l2,1.0,10.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025653965212681908,0.001230452380952381,,,,,,l2,5.0,5.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025675453453524306,0.0012369285714285715,,,,,,l2,10.0,1.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.025752039691377876,0.0012726428571428572,,,,,,l2,1.0,5.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.02606150700427991,0.001327,,,,,,l2,3.0,1.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.02631840671113293,0.0012855476190476189,,,,,,l2,3.0,10.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.02665062704805418,0.0013295476190476189,,,,,,l2,5.0,10.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.027399199335680652,0.0012384523809523809,,,,,,l2,5.0,1.0,10.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.09358024009824953,0.003421357142857142,,,,,,l2,10.0,10.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.0974244017145663,0.003527404761904763,,,,,,l2,10.0,5.0,5.0,
